isbn|title|authors
9781617297571|Spring in Action, 6th Edition|Craig Walls
9781803249896|Learning Spring Boot 3.0|Greg L. Turnquist,Dave Syer
9781484287927|Beginning Spring Boot 3|K. Siva Prasad Reddy,Sai Upadhyayula
9781484286487|Spring 6 Recipes|Marten Deinum,Daniel Rubio,Josh Long
9780061120084|To Kill a Mockingbir|Harper Lee
9780451524935|1984|George Orwell
9780618260300|The Hobbit|J.R.R. Tolkien
9780008471293|The Lord of the Rings|J.R.R. Tolkien
9781492076988|Spring Boot Up and Running|Mark Heckler
9780764574832|Professional Java Development with the Spring Framework|Rod Johnson,Juergen Hoeller,Colin Sampaleanu,Alef Arendsen,Thomas Risberg
9780764558313|J2EE Development Without EJB|Rod Johnson,Juergen Hoeller
9781484286371|Introducing Spring Framework 6|Felipe Gutierrez, Joseph B. Ottinger
9781449374648|Cloud Native Java|Josh Long,Kenny Bastani
9781484289921|Building Modern Business Applications|Peter Royal
9781484286401|Pro Spring 6|Iuliana Cosmina , Rob Harrop , Chris Schaefer , Clarence Ho
9780321127426|Patterns of Enterprise Application Architecture|Martin Fowler
9780134757599|Refactoring: Improving the Design of Existing Code|Martin Fowler
9780321200686|Enterprise Integration Patterns|Gregor Hohp,Bobby Woolf
9780141199078|Pride and Prejudice|Jane Austen
9781784870140|Brave New World|Aldous Huxley
9780141973883|Frankenstein|Mary Shelley
9780141439976|The Time Machine|H.G. Wells
9780141395845|The Art of War|Sun Tzu
B0CBC71PHR|Testing Spring Boot Applications Demystified|Philip Riecks
